# ep	d_lat	d_lon	fecha
ALUM	-0.000	0.003	2011-06-15
AZUL	0.003	-0.009	2011-06-15
BCAR	-0.008	-0.009	2011-06-15
CATA	-0.001	-0.006	2011-06-15
EBYP	-0.006	-0.007	2011-06-15
ESQU	-0.001	-0.013	2011-06-15
IGM1	0.002	-0.005	2011-06-15
LHCL	-0.002	-0.009	2011-06-15
LPGS	0.001	-0.003	2011-06-15
MZAC	0.008	0.015	2011-06-15
RWSN	-0.005	-0.009	2011-06-15
SL01	-0.078	-0.032	2011-06-15
SRLP	-0.000	-0.018	2011-06-15
TUCU	-0.004	-0.001	2011-06-15
UCOR	-0.001	-0.015	2011-06-15
UNRO	0.000	-0.002	2011-06-15
UNSA	-0.002	-0.023	2011-06-15
UYTA	0.001	-0.004	2011-06-15
VBCA	0.004	-0.020	2011-06-15
UYPA	0.000	-0.003	2011-06-15
UYSO	0.002	0.002	2011-06-15
ALUM	-0.004	0.005	2011-08-24
AZUL	0.001	-0.006	2011-08-24
BCAR	-0.008	-0.006	2011-08-24
CATA	-0.006	-0.002	2011-08-24
EBYP	-0.010	-0.005	2011-08-24
ESQU	-0.004	-0.010	2011-08-24
IGM1	0.001	-0.003	2011-08-24
LHCL	-0.002	-0.009	2011-08-24
LPGS	0.000	0.000	2011-08-24
MA01	-0.000	-0.016	2011-08-24
MZAC	0.005	0.017	2011-08-24
SL01	-0.081	-0.030	2011-08-24
SRLP	-0.002	-0.016	2011-08-24
TUCU	-0.008	0.004	2011-08-24
UCOR	-0.003	-0.011	2011-08-24
UNRO	-0.001	0.001	2011-08-24
UNSA	-0.006	-0.020	2011-08-24
UYTA	-0.002	-0.000	2011-08-24
VBCA	0.003	-0.017	2011-08-24
MPL2	-0.000	-0.009	2011-08-24
UYPA	-0.002	0.000	2011-08-24
UYSO	0.000	0.005	2011-08-24
ALUM	-0.003	0.004	2011-11-02
AZUL	0.002	-0.007	2011-11-02
BCAR	-0.008	-0.008	2011-11-02
