ep	d_lat 99%	d_lon 99%
MPL2	0.021	0.013
IGM1	0.007	0.009
UNSA	0.056	0.009
UCOR	0.037	0.008
NESA	0.109	0.016
SL01	0.121	0.246
ALUM	0.015	0.021
RECO	0.031	0.026
CORD	0.024	0.024
MZAC	0.073	0.036
LHCL	0.056	0.015
AZUL	0.015	0.02
LPGS	0.007	0.02
UYTD	0.036	0.019
UYPA	0.019	0.022
TUCU	0.024	0.017
GUAY	0.027	0.014
ESQU	0.022	0.017
UNRO	0.007	0.011
BCAR	0.016	0.019
UYSO	0.013	0.014
MA01	0.045	0.012
UYTA	0.009	0.014
PRNA	0.018	0.058
EBYP	0.011	0.019
PEJO	0.027	0.018
SRLP	0.056	0.013
VBCA	0.054	0.025
CATA	0.023	0.026
RWSN	0.137	0.033
