station	d_lat	d_lon	gpsweek	date
ALUM	-0.000	0.003	1640	2011-06-15
ALUM	-0.003	0.003	1641	2011-06-22
ALUM	-0.001	0.003	1642	2011-06-29
ALUM	-0.002	0.004	1643	2011-07-06
ALUM	-0.001	0.003	1644	2011-07-13
ALUM	-0.002	0.005	1645	2011-07-20
ALUM	-0.002	0.005	1646	2011-07-27
ALUM	-0.004	0.006	1647	2011-08-03
ALUM	-0.003	0.004	1648	2011-08-10
ALUM	-0.005	0.005	1649	2011-08-17
ALUM	-0.004	0.005	1650	2011-08-24
ALUM	-0.003	0.005	1651	2011-08-31
ALUM	-0.004	0.006	1652	2011-09-07
ALUM	-0.002	0.007	1653	2011-09-14
ALUM	-0.004	0.007	1654	2011-09-21
ALUM	-0.004	0.006	1655	2011-09-28
ALUM	-0.003	0.005	1656	2011-10-05
ALUM	-0.004	0.005	1657	2011-10-12
ALUM	-0.004	0.004	1658	2011-10-19
ALUM	-0.003	0.005	1659	2011-10-26
ALUM	-0.003	0.004	1660	2011-11-02
ALUM	-0.001	0.004	1661	2011-11-09
ALUM	-0.004	0.005	1662	2011-11-16
ALUM	-0.003	0.006	1663	2011-11-23
ALUM	-0.004	0.006	1664	2011-11-30
ALUM	-0.002	0.006	1665	2011-12-07
ALUM	-0.002	0.008	1666	2011-12-14
ALUM	-0.001	0.006	1667	2011-12-21
ALUM	-0.003	0.007	1668	2011-12-28
ALUM	-0.001	0.007	1670	2012-01-11
ALUM	0.000	0.006	1671	2012-01-18
ALUM	0.001	0.007	1673	2012-02-01
ALUM	0.001	0.007	1674	2012-02-08
ALUM	0.000	0.006	1675	2012-02-15
ALUM	0.001	0.007	1676	2012-02-22
ALUM	0.002	0.007	1677	2012-02-29
ALUM	0.001	0.007	1678	2012-03-07
ALUM	0.001	0.007	1679	2012-03-14
ALUM	-0.001	0.008	1680	2012-03-21
ALUM	-0.001	0.007	1681	2012-03-28
ALUM	-0.001	0.006	1682	2012-04-04
ALUM	-0.000	0.007	1683	2012-04-11
ALUM	-0.001	0.007	1684	2012-04-18
ALUM	-0.001	0.008	1685	2012-04-25
ALUM	-0.001	0.009	1686	2012-05-02
ALUM	-0.001	0.008	1687	2012-05-09
ALUM	-0.002	0.008	1688	2012-05-16
ALUM	-0.002	0.006	1689	2012-05-23
ALUM	-0.001	0.004	1690	2012-05-30
ALUM	-0.003	0.006	1691	2012-06-06
ALUM	-0.003	0.005	1692	2012-06-13
ALUM	-0.003	0.005	1693	2012-06-20
ALUM	-0.003	0.007	1694	2012-06-27
ALUM	-0.006	0.008	1695	2012-07-04
ALUM	-0.005	0.008	1696	2012-07-11
ALUM	-0.004	0.008	1697	2012-07-18
ALUM	-0.006	0.008	1698	2012-07-25
ALUM	-0.006	0.009	1699	2012-08-01
ALUM	-0.005	0.009	1700	2012-08-08
ALUM	-0.005	0.007	1701	2012-08-15
ALUM	-0.005	0.006	1702	2012-08-22
ALUM	-0.005	0.007	1703	2012-08-29
ALUM	-0.005	0.007	1704	2012-09-05
ALUM	-0.004	0.007	1705	2012-09-12
ALUM	-0.005	0.008	1706	2012-09-19
ALUM	-0.005	0.006	1707	2012-09-26
ALUM	-0.005	0.006	1708	2012-10-03
ALUM	-0.005	0.004	1709	2012-10-10
ALUM	-0.006	0.005	1710	2012-10-17
ALUM	-0.005	0.004	1711	2012-10-24
ALUM	-0.004	0.003	1712	2012-10-31
ALUM	-0.003	0.003	1713	2012-11-07
ALUM	-0.003	0.005	1714	2012-11-14
ALUM	-0.003	0.004	1715	2012-11-21
ALUM	-0.002	0.005	1716	2012-11-28
ALUM	-0.003	0.003	1717	2012-12-05
ALUM	-0.003	0.003	1718	2012-12-12
ALUM	-0.002	0.003	1719	2012-12-19
