station	d_lat	d_lon	gpsweek	date
CORD	-0.009	0.002	1789	2014-04-23
CORD	-0.008	0.001	1790	2014-04-30
CORD	-0.007	0.002	1791	2014-05-07
CORD	-0.007	0.002	1792	2014-05-14
CORD	-0.008	0.003	1793	2014-05-21
CORD	-0.006	0.003	1794	2014-05-28
CORD	-0.007	0.004	1795	2014-06-04
CORD	-0.008	0.003	1796	2014-06-11
CORD	-0.011	0.003	1797	2014-06-18
CORD	-0.011	0.003	1798	2014-06-25
CORD	-0.012	0.004	1799	2014-07-02
CORD	-0.011	0.004	1800	2014-07-09
CORD	-0.012	0.004	1801	2014-07-16
CORD	-0.013	0.004	1802	2014-07-23
CORD	-0.011	0.004	1803	2014-07-30
CORD	-0.012	0.005	1804	2014-08-06
CORD	-0.012	0.004	1805	2014-08-13
CORD	-0.010	0.004	1806	2014-08-20
CORD	-0.011	0.003	1807	2014-08-27
CORD	-0.010	0.002	1808	2014-09-03
CORD	-0.010	0.002	1809	2014-09-10
CORD	-0.011	0.002	1810	2014-09-17
CORD	-0.010	0.003	1811	2014-09-24
CORD	-0.009	0.003	1812	2014-10-01
CORD	-0.008	0.003	1813	2014-10-08
CORD	-0.008	0.003	1814	2014-10-15
CORD	-0.008	0.003	1815	2014-10-22
CORD	-0.008	0.002	1816	2014-10-29
CORD	-0.008	0.002	1817	2014-11-05
CORD	-0.006	0.003	1818	2014-11-12
CORD	-0.005	0.003	1819	2014-11-19
CORD	-0.004	0.003	1821	2014-12-03
CORD	-0.003	0.002	1822	2014-12-10
CORD	-0.005	0.001	1823	2014-12-17
CORD	-0.004	0.002	1824	2014-12-24
CORD	-0.005	0.002	1825	2014-12-31
CORD	-0.003	0.002	1826	2015-01-07
CORD	-0.003	0.004	1827	2015-01-14
CORD	-0.004	0.002	1828	2015-01-21
CORD	-0.004	0.004	1830	2015-02-04
CORD	-0.006	0.005	1831	2015-02-11
CORD	-0.005	0.007	1832	2015-02-18
CORD	-0.004	0.007	1833	2015-02-25
CORD	-0.003	0.007	1834	2015-03-04
CORD	-0.003	0.007	1835	2015-03-11
CORD	-0.005	0.006	1836	2015-03-18
CORD	-0.008	0.004	1837	2015-03-25
CORD	-0.007	0.003	1838	2015-04-01
CORD	-0.007	0.004	1839	2015-04-08
CORD	-0.006	0.005	1840	2015-04-15
CORD	-0.006	0.004	1841	2015-04-22
CORD	-0.005	0.006	1842	2015-04-29
CORD	-0.006	0.007	1843	2015-05-06
CORD	-0.006	0.007	1844	2015-05-13
CORD	-0.005	0.007	1845	2015-05-20
CORD	-0.008	0.007	1846	2015-05-27
CORD	-0.006	0.009	1847	2015-06-03
CORD	-0.008	0.008	1848	2015-06-10
CORD	-0.008	0.008	1849	2015-06-17
CORD	-0.010	0.007	1850	2015-06-24
CORD	-0.008	0.008	1851	2015-07-01
CORD	-0.009	0.006	1852	2015-07-08
CORD	-0.009	0.007	1853	2015-07-15
CORD	-0.010	0.008	1854	2015-07-22
CORD	-0.010	0.007	1855	2015-07-29
CORD	-0.011	0.007	1856	2015-08-05
CORD	-0.010	0.007	1858	2015-08-19
CORD	-0.008	0.007	1859	2015-08-26
CORD	-0.009	0.006	1860	2015-09-02
CORD	-0.008	0.005	1861	2015-09-09
CORD	-0.008	0.002	1862	2015-09-16
CORD	-0.009	-0.009	1863	2015-09-23
CORD	-0.009	-0.009	1864	2015-09-30
CORD	-0.009	-0.009	1865	2015-10-07
CORD	-0.009	-0.009	1866	2015-10-14
CORD	-0.007	-0.007	1867	2015-10-21
CORD	-0.008	-0.010	1868	2015-10-28
CORD	-0.007	-0.010	1869	2015-11-04
CORD	-0.007	-0.010	1870	2015-11-11
CORD	-0.007	-0.010	1871	2015-11-18
CORD	-0.005	-0.010	1872	2015-11-25
CORD	-0.005	-0.010	1873	2015-12-02
CORD	-0.006	-0.011	1874	2015-12-09
CORD	-0.005	-0.009	1875	2015-12-16
CORD	-0.005	-0.010	1876	2015-12-23
CORD	-0.003	-0.011	1877	2015-12-30
CORD	-0.005	-0.012	1878	2016-01-06
CORD	-0.001	-0.010	1880	2016-01-20
CORD	-0.004	-0.011	1882	2016-02-03
CORD	-0.004	-0.011	1883	2016-02-10
CORD	-0.005	-0.010	1884	2016-02-17
CORD	-0.004	-0.010	1885	2016-02-24
CORD	-0.003	-0.010	1886	2016-03-02
CORD	-0.003	-0.010	1887	2016-03-09
CORD	-0.005	-0.011	1888	2016-03-16
CORD	-0.005	-0.013	1889	2016-03-23
CORD	-0.004	-0.011	1890	2016-03-30
CORD	-0.007	-0.015	1891	2016-04-06
CORD	-0.005	-0.013	1892	2016-04-13
CORD	-0.006	-0.010	1893	2016-04-20
CORD	-0.005	-0.009	1894	2016-04-27
CORD	-0.006	-0.008	1895	2016-05-04
CORD	-0.007	-0.012	1896	2016-05-11
CORD	-0.008	-0.011	1897	2016-05-18
CORD	-0.010	-0.011	1898	2016-05-25
CORD	-0.008	-0.013	1899	2016-06-01
CORD	-0.007	-0.011	1900	2016-06-08
CORD	-0.008	-0.012	1901	2016-06-15
CORD	-0.009	-0.012	1902	2016-06-22
CORD	-0.009	-0.013	1903	2016-06-29
CORD	-0.009	-0.011	1904	2016-07-06
CORD	-0.009	-0.012	1905	2016-07-13
CORD	-0.009	-0.011	1906	2016-07-20
CORD	-0.009	-0.012	1907	2016-07-27
CORD	-0.009	-0.011	1908	2016-08-03
CORD	-0.008	-0.012	1909	2016-08-10
CORD	-0.009	-0.011	1910	2016-08-17
CORD	-0.010	-0.010	1911	2016-08-24
CORD	-0.010	-0.012	1912	2016-08-31
CORD	-0.011	-0.012	1913	2016-09-07
CORD	-0.009	-0.014	1914	2016-09-14
CORD	-0.009	-0.013	1915	2016-09-21
CORD	-0.009	-0.013	1916	2016-09-28
CORD	-0.008	-0.012	1917	2016-10-05
CORD	-0.008	-0.011	1918	2016-10-12
CORD	-0.009	-0.012	1919	2016-10-19
CORD	-0.008	-0.010	1920	2016-10-26
CORD	-0.008	-0.012	1921	2016-11-02
CORD	-0.007	-0.012	1922	2016-11-09
CORD	-0.008	-0.011	1923	2016-11-16
CORD	-0.008	-0.012	1924	2016-11-23
CORD	-0.008	-0.012	1925	2016-11-30
CORD	-0.007	-0.011	1926	2016-12-07
CORD	-0.005	-0.011	1927	2016-12-14
CORD	-0.005	-0.012	1928	2016-12-21
CORD	-0.005	-0.012	1929	2016-12-28
CORD	-0.005	-0.011	1930	2017-01-04
CORD	-0.005	-0.011	1931	2017-01-11
CORD	-0.006	-0.010	1932	2017-01-18
CORD	-0.005	-0.009	1933	2017-01-25
CORD	-0.007	-0.013	1934	2017-02-01
CORD	-0.008	-0.013	1935	2017-02-08
CORD	-0.009	-0.013	1936	2017-02-15
CORD	-0.009	-0.013	1937	2017-02-22
