station	d_lat	d_lon	gpsweek	date
ESQU	-0.001	-0.013	1640	2011-06-15
ESQU	-0.003	-0.011	1641	2011-06-22
ESQU	-0.001	-0.012	1642	2011-06-29
ESQU	-0.001	-0.011	1643	2011-07-06
ESQU	-0.000	-0.009	1644	2011-07-13
ESQU	-0.001	-0.010	1645	2011-07-20
ESQU	-0.001	-0.010	1646	2011-07-27
ESQU	-0.004	-0.009	1647	2011-08-03
ESQU	-0.002	-0.011	1648	2011-08-10
ESQU	-0.003	-0.010	1649	2011-08-17
ESQU	-0.004	-0.010	1650	2011-08-24
ESQU	-0.002	-0.009	1651	2011-08-31
ESQU	-0.004	-0.009	1652	2011-09-07
ESQU	-0.003	-0.009	1653	2011-09-14
ESQU	-0.004	-0.009	1654	2011-09-21
ESQU	-0.003	-0.010	1655	2011-09-28
ESQU	-0.001	-0.011	1656	2011-10-05
ESQU	-0.001	-0.012	1657	2011-10-12
ESQU	-0.002	-0.010	1658	2011-10-19
ESQU	0.000	-0.010	1659	2011-10-26
ESQU	0.001	-0.011	1660	2011-11-02
ESQU	0.001	-0.012	1661	2011-11-09
ESQU	0.001	-0.011	1662	2011-11-16
ESQU	0.001	-0.011	1663	2011-11-23
ESQU	0.003	-0.011	1664	2011-11-30
ESQU	0.003	-0.009	1665	2011-12-07
ESQU	0.005	-0.011	1666	2011-12-14
ESQU	0.005	-0.009	1667	2011-12-21
ESQU	0.003	-0.009	1668	2011-12-28
ESQU	0.005	-0.012	1670	2012-01-11
ESQU	0.003	-0.013	1671	2012-01-18
ESQU	0.004	-0.014	1672	2012-01-25
ESQU	0.006	-0.012	1673	2012-02-01
ESQU	0.005	-0.004	1674	2012-02-08
ESQU	0.003	-0.009	1676	2012-02-22
ESQU	0.006	-0.007	1677	2012-02-29
ESQU	0.005	-0.009	1678	2012-03-07
ESQU	0.004	-0.010	1679	2012-03-14
ESQU	0.000	-0.007	1680	2012-03-21
ESQU	0.000	-0.007	1681	2012-03-28
ESQU	-0.001	-0.008	1682	2012-04-04
ESQU	0.001	-0.008	1683	2012-04-11
ESQU	-0.000	-0.007	1685	2012-04-25
ESQU	-0.002	-0.011	1686	2012-05-02
ESQU	-0.002	-0.008	1687	2012-05-09
ESQU	-0.002	-0.010	1688	2012-05-16
ESQU	-0.003	-0.010	1689	2012-05-23
ESQU	-0.003	-0.012	1690	2012-05-30
ESQU	-0.004	-0.008	1691	2012-06-06
ESQU	-0.004	-0.008	1692	2012-06-13
ESQU	-0.004	-0.009	1693	2012-06-20
ESQU	-0.003	-0.009	1694	2012-06-27
ESQU	-0.005	-0.007	1695	2012-07-04
ESQU	-0.006	-0.006	1696	2012-07-11
ESQU	-0.005	-0.008	1697	2012-07-18
ESQU	-0.006	-0.007	1698	2012-07-25
ESQU	-0.004	-0.006	1699	2012-08-01
ESQU	-0.003	-0.006	1700	2012-08-08
ESQU	-0.004	-0.006	1701	2012-08-15
ESQU	-0.003	-0.007	1702	2012-08-22
ESQU	-0.005	-0.007	1703	2012-08-29
ESQU	-0.005	-0.005	1704	2012-09-05
ESQU	-0.003	-0.008	1705	2012-09-12
ESQU	-0.005	-0.007	1706	2012-09-19
ESQU	-0.003	-0.008	1707	2012-09-26
ESQU	-0.003	-0.008	1708	2012-10-03
ESQU	0.004	-0.010	1722	2013-01-09
ESQU	0.003	-0.008	1723	2013-01-16
ESQU	0.006	-0.008	1724	2013-01-23
ESQU	0.004	-0.007	1725	2013-01-30
