station	d_lat	d_lon	gpsweek	date
NESA	-0.003	-0.038	1677	2012-02-29
NESA	-0.005	-0.037	1678	2012-03-07
NESA	-0.003	-0.036	1679	2012-03-14
NESA	-0.005	-0.035	1680	2012-03-21
NESA	-0.006	-0.036	1681	2012-03-28
NESA	-0.008	-0.038	1682	2012-04-04
NESA	-0.006	-0.036	1683	2012-04-11
NESA	-0.011	-0.037	1695	2012-07-04
NESA	-0.011	-0.037	1696	2012-07-11
NESA	-0.010	-0.038	1697	2012-07-18
NESA	-0.012	-0.037	1698	2012-07-25
NESA	-0.010	-0.036	1699	2012-08-01
NESA	-0.009	-0.035	1700	2012-08-08
NESA	-0.010	-0.037	1701	2012-08-15
NESA	-0.010	-0.037	1702	2012-08-22
NESA	-0.010	-0.037	1703	2012-08-29
NESA	-0.010	-0.036	1704	2012-09-05
NESA	-0.010	-0.037	1705	2012-09-12
NESA	-0.011	-0.036	1706	2012-09-19
NESA	-0.009	-0.038	1707	2012-09-26
NESA	-0.010	-0.038	1708	2012-10-03
NESA	-0.009	-0.039	1709	2012-10-10
NESA	-0.010	-0.038	1710	2012-10-17
NESA	-0.009	-0.040	1711	2012-10-24
NESA	-0.007	-0.040	1712	2012-10-31
NESA	-0.006	-0.040	1713	2012-11-07
NESA	-0.005	-0.038	1714	2012-11-14
NESA	-0.005	-0.039	1715	2012-11-21
NESA	-0.003	-0.037	1716	2012-11-28
NESA	-0.004	-0.039	1717	2012-12-05
NESA	-0.004	-0.038	1718	2012-12-12
NESA	-0.005	-0.039	1719	2012-12-19
NESA	-0.004	-0.039	1720	2012-12-26
NESA	-0.005	-0.040	1721	2013-01-02
NESA	-0.005	-0.035	1730	2013-03-06
NESA	-0.007	-0.036	1731	2013-03-13
NESA	-0.006	-0.036	1732	2013-03-20
NESA	-0.007	-0.036	1733	2013-03-27
NESA	-0.007	-0.037	1734	2013-04-03
NESA	-0.009	-0.036	1735	2013-04-10
NESA	-0.007	-0.036	1736	2013-04-17
NESA	-0.008	-0.037	1737	2013-04-24
NESA	-0.010	-0.036	1738	2013-05-01
NESA	-0.012	-0.037	1739	2013-05-08
NESA	-0.009	-0.038	1740	2013-05-15
NESA	-0.008	-0.039	1741	2013-05-22
NESA	-0.008	-0.040	1742	2013-05-29
NESA	-0.008	-0.037	1743	2013-06-05
NESA	-0.009	-0.037	1744	2013-06-12
NESA	-0.008	-0.038	1745	2013-06-19
NESA	-0.008	-0.037	1746	2013-06-26
NESA	-0.010	-0.037	1747	2013-07-03
NESA	-0.009	-0.037	1748	2013-07-10
NESA	-0.010	-0.036	1749	2013-07-17
