station	d_lat	d_lon	gpsweek	date
PEJO	-0.010	0.009	1803	2014-07-30
PEJO	-0.010	0.010	1804	2014-08-06
PEJO	-0.011	0.010	1805	2014-08-13
PEJO	-0.010	0.009	1806	2014-08-20
PEJO	-0.010	0.008	1807	2014-08-27
PEJO	-0.010	0.007	1808	2014-09-03
PEJO	-0.010	0.008	1809	2014-09-10
PEJO	-0.010	0.008	1810	2014-09-17
PEJO	-0.008	0.008	1811	2014-09-24
PEJO	-0.007	0.007	1816	2014-10-29
PEJO	-0.005	0.006	1817	2014-11-05
PEJO	-0.004	0.007	1818	2014-11-12
PEJO	-0.003	0.007	1819	2014-11-19
PEJO	-0.003	0.007	1820	2014-11-26
PEJO	-0.003	0.007	1821	2014-12-03
PEJO	-0.003	0.007	1822	2014-12-10
PEJO	-0.004	0.007	1823	2014-12-17
PEJO	-0.003	0.007	1824	2014-12-24
PEJO	-0.004	0.006	1825	2014-12-31
PEJO	-0.003	0.006	1826	2015-01-07
PEJO	-0.003	0.008	1827	2015-01-14
PEJO	-0.004	0.007	1828	2015-01-21
PEJO	-0.004	0.010	1830	2015-02-04
PEJO	-0.005	0.010	1831	2015-02-11
PEJO	-0.004	0.012	1832	2015-02-18
PEJO	-0.003	0.013	1833	2015-02-25
PEJO	-0.004	0.012	1834	2015-03-04
PEJO	-0.004	0.011	1835	2015-03-11
PEJO	-0.005	0.011	1836	2015-03-18
PEJO	-0.007	0.010	1837	2015-03-25
PEJO	-0.007	0.009	1838	2015-04-01
PEJO	-0.007	0.009	1839	2015-04-08
PEJO	-0.008	0.009	1840	2015-04-15
PEJO	-0.006	0.010	1841	2015-04-22
PEJO	-0.006	0.011	1842	2015-04-29
PEJO	-0.005	0.011	1843	2015-05-06
PEJO	-0.005	0.011	1844	2015-05-13
PEJO	-0.005	0.011	1845	2015-05-20
PEJO	-0.005	0.013	1846	2015-05-27
PEJO	-0.005	0.013	1847	2015-06-03
PEJO	-0.007	0.012	1848	2015-06-10
PEJO	-0.006	0.013	1849	2015-06-17
PEJO	-0.008	0.012	1850	2015-06-24
PEJO	-0.007	0.013	1851	2015-07-01
PEJO	-0.007	0.012	1852	2015-07-08
PEJO	-0.008	0.012	1853	2015-07-15
PEJO	-0.008	0.013	1854	2015-07-22
PEJO	-0.009	0.011	1855	2015-07-29
PEJO	-0.009	0.012	1856	2015-08-05
PEJO	-0.008	0.011	1858	2015-08-19
PEJO	-0.008	0.012	1859	2015-08-26
PEJO	-0.007	0.010	1860	2015-09-02
PEJO	-0.007	0.010	1861	2015-09-09
PEJO	-0.007	0.010	1862	2015-09-16
PEJO	-0.006	0.007	1863	2015-09-23
PEJO	-0.006	0.006	1864	2015-09-30
PEJO	-0.006	0.006	1865	2015-10-07
PEJO	-0.006	0.007	1866	2015-10-14
PEJO	-0.005	0.008	1867	2015-10-21
PEJO	-0.005	0.007	1868	2015-10-28
PEJO	-0.003	0.008	1869	2015-11-04
PEJO	-0.004	0.008	1870	2015-11-11
PEJO	-0.004	0.007	1871	2015-11-18
PEJO	-0.003	0.007	1872	2015-11-25
