station	d_lat	d_lon	gpsweek	date
RECO	0.007	-0.003	1852	2015-07-08
RECO	0.006	-0.003	1853	2015-07-15
RECO	0.006	-0.001	1854	2015-07-22
RECO	0.005	-0.003	1855	2015-07-29
RECO	0.004	-0.003	1856	2015-08-05
RECO	0.005	-0.004	1858	2015-08-19
RECO	0.005	-0.004	1859	2015-08-26
RECO	0.006	-0.005	1860	2015-09-02
RECO	0.007	-0.005	1861	2015-09-09
RECO	0.005	-0.006	1862	2015-09-16
RECO	0.005	-0.009	1863	2015-09-23
RECO	0.005	-0.010	1864	2015-09-30
RECO	0.005	-0.011	1865	2015-10-07
RECO	0.005	-0.010	1866	2015-10-14
RECO	0.007	-0.009	1867	2015-10-21
RECO	0.006	-0.010	1868	2015-10-28
RECO	0.008	-0.009	1869	2015-11-04
RECO	0.007	-0.010	1870	2015-11-11
RECO	0.008	-0.010	1871	2015-11-18
RECO	0.009	-0.010	1872	2015-11-25
RECO	0.008	-0.009	1873	2015-12-02
RECO	0.007	-0.009	1874	2015-12-09
RECO	0.008	-0.008	1875	2015-12-16
RECO	0.008	-0.009	1876	2015-12-23
RECO	0.009	-0.009	1877	2015-12-30
RECO	0.008	-0.010	1878	2016-01-06
RECO	0.010	-0.010	1880	2016-01-20
RECO	0.009	-0.009	1882	2016-02-03
RECO	0.009	-0.008	1883	2016-02-10
RECO	0.007	-0.008	1884	2016-02-17
RECO	0.008	-0.009	1885	2016-02-24
RECO	0.010	-0.009	1886	2016-03-02
RECO	0.009	-0.008	1887	2016-03-09
RECO	0.008	-0.009	1888	2016-03-16
RECO	0.007	-0.009	1890	2016-03-30
RECO	0.007	-0.010	1891	2016-04-06
RECO	0.009	-0.010	1892	2016-04-13
RECO	0.009	-0.009	1893	2016-04-20
RECO	0.011	-0.009	1894	2016-04-27
RECO	0.010	-0.008	1895	2016-05-04
RECO	0.009	-0.010	1896	2016-05-11
RECO	0.009	-0.009	1897	2016-05-18
RECO	0.008	-0.010	1898	2016-05-25
RECO	0.009	-0.011	1899	2016-06-01
RECO	0.009	-0.010	1900	2016-06-08
RECO	0.008	-0.011	1901	2016-06-15
RECO	0.008	-0.011	1902	2016-06-22
RECO	0.008	-0.010	1903	2016-06-29
RECO	0.007	-0.009	1904	2016-07-06
RECO	0.007	-0.011	1905	2016-07-13
RECO	0.008	-0.010	1906	2016-07-20
RECO	0.007	-0.011	1907	2016-07-27
RECO	0.007	-0.011	1908	2016-08-03
RECO	0.007	-0.011	1909	2016-08-10
RECO	0.005	-0.011	1910	2016-08-17
RECO	0.005	-0.009	1911	2016-08-24
RECO	0.006	-0.010	1912	2016-08-31
RECO	0.005	-0.010	1913	2016-09-07
RECO	0.005	-0.012	1914	2016-09-14
RECO	0.006	-0.011	1915	2016-09-21
RECO	0.006	-0.012	1916	2016-09-28
RECO	0.006	-0.011	1917	2016-10-05
RECO	0.006	-0.011	1918	2016-10-12
RECO	0.006	-0.010	1919	2016-10-19
RECO	0.007	-0.008	1920	2016-10-26
RECO	0.006	-0.011	1921	2016-11-02
RECO	0.006	-0.010	1922	2016-11-09
RECO	0.006	-0.010	1923	2016-11-16
RECO	0.006	-0.011	1924	2016-11-23
RECO	0.006	-0.012	1925	2016-11-30
RECO	0.006	-0.011	1926	2016-12-07
RECO	0.008	-0.010	1927	2016-12-14
RECO	0.009	-0.011	1928	2016-12-21
RECO	0.007	-0.011	1929	2016-12-28
RECO	0.007	-0.010	1930	2017-01-04
RECO	0.007	-0.011	1931	2017-01-11
RECO	0.008	-0.010	1932	2017-01-18
RECO	0.008	-0.009	1933	2017-01-25
RECO	0.005	-0.014	1934	2017-02-01
RECO	0.006	-0.014	1935	2017-02-08
RECO	0.003	-0.015	1936	2017-02-15
RECO	0.004	-0.015	1937	2017-02-22
