station	d_lat	d_lon	gpsweek	date
RWSN	-0.005	-0.009	1640	2011-06-15
RWSN	-0.005	-0.008	1641	2011-06-22
RWSN	-0.005	-0.007	1642	2011-06-29
RWSN	-0.005	-0.007	1643	2011-07-06
RWSN	-0.006	-0.007	1645	2011-07-20
RWSN	-0.005	-0.007	1646	2011-07-27
RWSN	-0.007	-0.006	1647	2011-08-03
RWSN	-0.004	-0.008	1656	2011-10-05
RWSN	-0.005	-0.008	1657	2011-10-12
RWSN	-0.005	-0.008	1658	2011-10-19
RWSN	-0.005	-0.007	1659	2011-10-26
RWSN	-0.005	-0.008	1660	2011-11-02
RWSN	-0.003	-0.009	1661	2011-11-09
RWSN	-0.005	-0.008	1662	2011-11-16
RWSN	-0.005	-0.007	1663	2011-11-23
RWSN	-0.003	-0.008	1664	2011-11-30
RWSN	-0.003	-0.007	1665	2011-12-07
RWSN	-0.001	-0.006	1666	2011-12-14
RWSN	-0.001	-0.007	1667	2011-12-21
RWSN	-0.002	-0.006	1668	2011-12-28
RWSN	-0.003	-0.008	1670	2012-01-11
RWSN	-0.003	-0.008	1671	2012-01-18
RWSN	-0.001	-0.007	1675	2012-02-15
RWSN	-0.002	-0.005	1676	2012-02-22
RWSN	0.001	-0.007	1677	2012-02-29
RWSN	-0.003	-0.006	1678	2012-03-07
RWSN	-0.001	-0.005	1679	2012-03-14
RWSN	-0.004	-0.003	1680	2012-03-21
RWSN	-0.004	-0.003	1681	2012-03-28
RWSN	-0.005	-0.005	1682	2012-04-04
RWSN	-0.002	-0.004	1683	2012-04-11
RWSN	-0.004	-0.004	1684	2012-04-18
RWSN	-0.004	-0.003	1686	2012-05-02
RWSN	-0.007	0.003	1688	2012-05-16
RWSN	-0.006	-0.006	1689	2012-05-23
RWSN	-0.007	-0.007	1690	2012-05-30
RWSN	-0.007	-0.006	1691	2012-06-06
RWSN	-0.009	-0.006	1692	2012-06-13
RWSN	-0.008	-0.006	1693	2012-06-20
RWSN	-0.009	-0.005	1694	2012-06-27
RWSN	-0.009	-0.005	1695	2012-07-04
RWSN	-0.008	-0.004	1696	2012-07-11
RWSN	-0.008	-0.005	1697	2012-07-18
RWSN	-0.010	-0.004	1698	2012-07-25
RWSN	-0.007	-0.003	1699	2012-08-01
RWSN	-0.007	-0.002	1700	2012-08-08
RWSN	-0.008	-0.004	1701	2012-08-15
RWSN	-0.008	-0.004	1702	2012-08-22
RWSN	-0.009	-0.005	1703	2012-08-29
RWSN	-0.009	-0.004	1704	2012-09-05
RWSN	-0.008	-0.004	1705	2012-09-12
RWSN	-0.009	-0.005	1706	2012-09-19
RWSN	-0.004	-0.010	1709	2012-10-10
RWSN	-0.005	0.031	1803	2014-07-30
RWSN	-0.007	0.037	1804	2014-08-06
RWSN	-0.003	0.044	1805	2014-08-13
RWSN	-0.004	0.041	1806	2014-08-20
RWSN	-0.003	0.037	1807	2014-08-27
RWSN	-0.004	0.040	1808	2014-09-03
RWSN	0.002	0.044	1809	2014-09-10
RWSN	0.024	0.059	1814	2014-10-15
RWSN	-0.013	0.040	1820	2014-11-26
RWSN	-0.014	0.039	1821	2014-12-03
RWSN	-0.010	0.040	1822	2014-12-10
RWSN	0.007	0.048	1825	2014-12-31
RWSN	0.021	0.054	1827	2015-01-14
RWSN	0.022	0.055	1828	2015-01-21
RWSN	0.018	0.054	1830	2015-02-04
RWSN	0.014	0.053	1831	2015-02-11
RWSN	0.019	0.058	1832	2015-02-18
RWSN	0.021	0.057	1833	2015-02-25
RWSN	0.009	0.050	1834	2015-03-04
RWSN	0.011	0.052	1835	2015-03-11
RWSN	0.014	0.054	1836	2015-03-18
RWSN	0.013	0.051	1837	2015-03-25
RWSN	0.010	0.050	1838	2015-04-01
RWSN	0.011	0.054	1839	2015-04-08
RWSN	0.014	0.052	1840	2015-04-15
RWSN	0.014	0.056	1841	2015-04-22
RWSN	0.015	0.053	1842	2015-04-29
RWSN	0.014	0.055	1843	2015-05-06
RWSN	0.017	0.058	1844	2015-05-13
RWSN	0.019	0.061	1845	2015-05-20
RWSN	0.013	0.058	1846	2015-05-27
RWSN	0.017	0.062	1847	2015-06-03
RWSN	0.010	0.056	1848	2015-06-10
RWSN	0.010	0.057	1849	2015-06-17
RWSN	0.008	0.055	1850	2015-06-24
RWSN	0.010	0.057	1851	2015-07-01
RWSN	0.016	0.060	1852	2015-07-08
RWSN	0.014	0.057	1853	2015-07-15
RWSN	0.016	0.061	1854	2015-07-22
RWSN	0.014	0.058	1855	2015-07-29
RWSN	0.016	0.060	1856	2015-08-05
RWSN	0.020	0.062	1858	2015-08-19
RWSN	0.017	0.058	1859	2015-08-26
RWSN	0.016	0.056	1860	2015-09-02
RWSN	0.013	0.055	1861	2015-09-09
