station	d_lat	d_lon	gpsweek	date
UCOR	-0.001	-0.015	1640	2011-06-15
UCOR	-0.001	-0.013	1641	2011-06-22
UCOR	0.001	-0.014	1642	2011-06-29
UCOR	-0.001	-0.013	1643	2011-07-06
UCOR	-0.001	-0.012	1644	2011-07-13
UCOR	-0.001	-0.011	1645	2011-07-20
UCOR	-0.001	-0.011	1646	2011-07-27
UCOR	-0.003	-0.011	1647	2011-08-03
UCOR	-0.003	-0.011	1648	2011-08-10
UCOR	-0.004	-0.011	1649	2011-08-17
UCOR	-0.003	-0.011	1650	2011-08-24
UCOR	-0.003	-0.010	1651	2011-08-31
UCOR	-0.004	-0.011	1652	2011-09-07
UCOR	-0.003	-0.010	1653	2011-09-14
UCOR	-0.004	-0.009	1654	2011-09-21
UCOR	-0.004	-0.010	1655	2011-09-28
UCOR	-0.002	-0.011	1656	2011-10-05
UCOR	-0.002	-0.012	1657	2011-10-12
UCOR	-0.003	-0.011	1658	2011-10-19
UCOR	-0.002	-0.012	1659	2011-10-26
UCOR	-0.002	-0.011	1660	2011-11-02
UCOR	-0.002	-0.011	1661	2011-11-09
UCOR	-0.003	-0.011	1662	2011-11-16
UCOR	-0.002	-0.009	1663	2011-11-23
UCOR	-0.002	-0.009	1664	2011-11-30
UCOR	0.001	-0.009	1665	2011-12-07
UCOR	0.000	-0.008	1666	2011-12-14
UCOR	-0.000	-0.010	1667	2011-12-21
UCOR	-0.003	-0.008	1668	2011-12-28
UCOR	0.001	-0.009	1670	2012-01-11
UCOR	0.001	-0.009	1671	2012-01-18
UCOR	0.002	-0.011	1672	2012-01-25
UCOR	0.002	-0.010	1673	2012-02-01
UCOR	0.002	-0.009	1674	2012-02-08
UCOR	0.001	-0.008	1675	2012-02-15
UCOR	0.000	-0.009	1676	2012-02-22
UCOR	0.003	-0.011	1677	2012-02-29
UCOR	0.001	-0.011	1678	2012-03-07
UCOR	0.001	-0.007	1679	2012-03-14
UCOR	-0.002	-0.006	1680	2012-03-21
UCOR	-0.000	-0.008	1681	2012-03-28
UCOR	-0.001	-0.011	1682	2012-04-04
UCOR	-0.000	-0.009	1683	2012-04-11
UCOR	-0.001	-0.010	1684	2012-04-18
UCOR	-0.000	-0.010	1685	2012-04-25
UCOR	-0.001	-0.009	1686	2012-05-02
UCOR	-0.001	-0.009	1687	2012-05-09
UCOR	-0.002	-0.010	1688	2012-05-16
UCOR	-0.002	-0.013	1689	2012-05-23
UCOR	-0.002	-0.013	1690	2012-05-30
UCOR	-0.003	-0.013	1691	2012-06-06
UCOR	-0.003	-0.013	1692	2012-06-13
UCOR	-0.003	-0.012	1693	2012-06-20
UCOR	-0.004	-0.011	1694	2012-06-27
UCOR	-0.005	-0.011	1695	2012-07-04
UCOR	-0.004	-0.010	1696	2012-07-11
UCOR	-0.003	-0.010	1697	2012-07-18
UCOR	-0.006	-0.010	1698	2012-07-25
UCOR	-0.005	-0.010	1699	2012-08-01
UCOR	-0.004	-0.008	1700	2012-08-08
UCOR	-0.004	-0.010	1701	2012-08-15
UCOR	-0.005	-0.010	1702	2012-08-22
UCOR	-0.005	-0.010	1703	2012-08-29
UCOR	-0.004	-0.009	1704	2012-09-05
UCOR	-0.005	-0.009	1705	2012-09-12
UCOR	-0.006	-0.009	1706	2012-09-19
UCOR	-0.005	-0.011	1707	2012-09-26
UCOR	-0.005	-0.010	1708	2012-10-03
UCOR	-0.004	-0.011	1709	2012-10-10
UCOR	-0.006	-0.011	1710	2012-10-17
UCOR	-0.004	-0.012	1711	2012-10-24
UCOR	-0.004	-0.012	1712	2012-10-31
UCOR	-0.004	-0.012	1713	2012-11-07
UCOR	-0.003	-0.010	1714	2012-11-14
UCOR	-0.004	-0.010	1715	2012-11-21
UCOR	-0.001	-0.009	1716	2012-11-28
UCOR	-0.002	-0.011	1717	2012-12-05
UCOR	-0.003	-0.010	1718	2012-12-12
UCOR	-0.002	-0.010	1719	2012-12-19
UCOR	-0.002	-0.011	1720	2012-12-26
UCOR	-0.002	-0.011	1721	2013-01-02
UCOR	-0.001	-0.009	1722	2013-01-09
UCOR	-0.002	-0.005	1723	2013-01-16
UCOR	0.000	-0.008	1724	2013-01-23
UCOR	-0.000	-0.009	1725	2013-01-30
UCOR	0.001	-0.007	1726	2013-02-06
UCOR	0.001	-0.009	1727	2013-02-13
UCOR	0.001	-0.011	1728	2013-02-20
UCOR	0.000	-0.009	1729	2013-02-27
UCOR	-0.003	-0.007	1730	2013-03-06
UCOR	-0.002	-0.010	1731	2013-03-13
UCOR	-0.002	-0.009	1732	2013-03-20
UCOR	-0.002	-0.008	1733	2013-03-27
UCOR	-0.002	-0.010	1734	2013-04-03
UCOR	-0.004	-0.008	1735	2013-04-10
UCOR	-0.002	-0.008	1736	2013-04-17
UCOR	-0.003	-0.008	1737	2013-04-24
UCOR	-0.006	-0.009	1738	2013-05-01
UCOR	-0.007	-0.009	1739	2013-05-08
UCOR	-0.004	-0.011	1740	2013-05-15
UCOR	-0.003	-0.012	1741	2013-05-22
UCOR	-0.003	-0.013	1742	2013-05-29
UCOR	-0.002	-0.010	1743	2013-06-05
UCOR	-0.004	-0.011	1744	2013-06-12
UCOR	-0.002	-0.012	1745	2013-06-19
UCOR	-0.003	-0.010	1746	2013-06-26
UCOR	-0.005	-0.010	1747	2013-07-03
UCOR	-0.004	-0.011	1748	2013-07-10
UCOR	-0.004	-0.010	1749	2013-07-17
UCOR	-0.002	-0.010	1750	2013-07-24
UCOR	-0.003	-0.010	1751	2013-07-31
UCOR	-0.003	-0.009	1752	2013-08-07
UCOR	-0.003	-0.009	1753	2013-08-14
UCOR	-0.005	-0.010	1754	2013-08-21
UCOR	-0.003	-0.009	1755	2013-08-28
UCOR	-0.005	-0.010	1756	2013-09-04
UCOR	-0.005	-0.010	1757	2013-09-11
UCOR	-0.004	-0.010	1758	2013-09-18
UCOR	-0.005	-0.011	1759	2013-09-25
UCOR	-0.004	-0.011	1760	2013-10-02
UCOR	-0.004	-0.010	1761	2013-10-09
UCOR	-0.004	-0.008	1762	2013-10-16
UCOR	-0.004	-0.012	1763	2013-10-23
UCOR	-0.003	-0.009	1764	2013-10-30
UCOR	-0.001	-0.009	1765	2013-11-06
UCOR	0.001	-0.009	1766	2013-11-13
UCOR	0.000	-0.009	1767	2013-11-20
UCOR	-0.000	-0.009	1769	2013-12-04
UCOR	0.001	-0.008	1770	2013-12-11
UCOR	-0.000	-0.008	1771	2013-12-18
UCOR	0.002	-0.008	1772	2013-12-25
UCOR	0.002	-0.009	1773	2014-01-01
UCOR	0.003	-0.010	1774	2014-01-08
UCOR	0.002	-0.008	1775	2014-01-15
UCOR	0.002	-0.008	1776	2014-01-22
UCOR	0.003	-0.009	1777	2014-01-29
UCOR	0.004	-0.009	1778	2014-02-05
UCOR	0.003	-0.009	1779	2014-02-12
UCOR	0.004	-0.006	1780	2014-02-19
UCOR	0.003	-0.006	1781	2014-02-26
UCOR	0.005	-0.006	1782	2014-03-05
UCOR	0.002	-0.008	1783	2014-03-12
UCOR	-0.001	-0.007	1784	2014-03-19
UCOR	0.001	-0.007	1785	2014-03-26
UCOR	0.002	-0.006	1786	2014-04-02
UCOR	0.001	-0.007	1787	2014-04-09
UCOR	-0.001	-0.008	1788	2014-04-16
UCOR	-0.001	-0.007	1789	2014-04-23
UCOR	0.001	-0.009	1790	2014-04-30
UCOR	0.001	-0.008	1791	2014-05-07
UCOR	0.003	-0.008	1792	2014-05-14
UCOR	0.001	-0.008	1793	2014-05-21
UCOR	0.002	-0.009	1794	2014-05-28
UCOR	0.000	-0.008	1795	2014-06-04
UCOR	0.000	-0.010	1796	2014-06-11
UCOR	-0.002	-0.009	1797	2014-06-18
UCOR	-0.002	-0.009	1798	2014-06-25
UCOR	-0.003	-0.008	1799	2014-07-02
UCOR	-0.003	-0.009	1800	2014-07-09
UCOR	-0.004	-0.009	1801	2014-07-16
UCOR	-0.005	-0.009	1802	2014-07-23
UCOR	-0.003	-0.009	1803	2014-07-30
UCOR	-0.005	-0.008	1804	2014-08-06
UCOR	-0.004	-0.008	1805	2014-08-13
UCOR	-0.004	-0.008	1806	2014-08-20
UCOR	-0.003	-0.010	1807	2014-08-27
UCOR	-0.003	-0.010	1808	2014-09-03
UCOR	-0.004	-0.010	1809	2014-09-10
UCOR	-0.004	-0.010	1810	2014-09-17
UCOR	-0.003	-0.009	1811	2014-09-24
UCOR	-0.001	-0.009	1812	2014-10-01
UCOR	-0.001	-0.008	1813	2014-10-08
UCOR	-0.002	-0.008	1814	2014-10-15
UCOR	-0.002	-0.009	1815	2014-10-22
UCOR	-0.002	-0.009	1816	2014-10-29
UCOR	-0.000	-0.010	1817	2014-11-05
UCOR	0.000	-0.008	1818	2014-11-12
UCOR	0.002	-0.009	1819	2014-11-19
UCOR	0.001	-0.009	1820	2014-11-26
UCOR	0.002	-0.009	1821	2014-12-03
UCOR	0.002	-0.010	1822	2014-12-10
UCOR	0.002	-0.010	1823	2014-12-17
UCOR	0.002	-0.009	1824	2014-12-24
UCOR	0.001	-0.010	1825	2014-12-31
UCOR	0.002	-0.009	1826	2015-01-07
UCOR	0.002	-0.008	1827	2015-01-14
UCOR	0.001	-0.008	1828	2015-01-21
UCOR	0.002	-0.007	1830	2015-02-04
UCOR	0.000	-0.006	1831	2015-02-11
UCOR	0.003	-0.005	1832	2015-02-18
UCOR	0.003	-0.004	1833	2015-02-25
UCOR	0.002	-0.006	1834	2015-03-04
UCOR	0.001	-0.004	1835	2015-03-11
UCOR	0.001	-0.006	1836	2015-03-18
UCOR	0.001	-0.007	1837	2015-03-25
UCOR	0.000	-0.009	1838	2015-04-01
UCOR	-0.001	-0.008	1839	2015-04-08
UCOR	-0.001	-0.008	1840	2015-04-15
UCOR	0.001	-0.007	1841	2015-04-22
UCOR	0.002	-0.006	1842	2015-04-29
UCOR	0.003	-0.006	1843	2015-05-06
UCOR	0.002	-0.006	1844	2015-05-13
UCOR	0.002	-0.006	1845	2015-05-20
UCOR	0.002	-0.005	1846	2015-05-27
UCOR	0.002	-0.004	1847	2015-06-03
UCOR	0.000	-0.005	1848	2015-06-10
UCOR	0.001	-0.005	1849	2015-06-17
UCOR	-0.001	-0.006	1850	2015-06-24
UCOR	0.000	-0.006	1851	2015-07-01
UCOR	-0.001	-0.007	1852	2015-07-08
UCOR	0.000	-0.005	1853	2015-07-15
UCOR	-0.001	-0.005	1854	2015-07-22
UCOR	-0.001	-0.005	1855	2015-07-29
UCOR	-0.002	-0.005	1856	2015-08-05
UCOR	-0.001	-0.006	1858	2015-08-19
UCOR	-0.001	-0.005	1859	2015-08-26
UCOR	-0.001	-0.006	1860	2015-09-02
UCOR	-0.001	-0.007	1861	2015-09-09
UCOR	-0.000	-0.021	1874	2015-12-09
UCOR	0.002	-0.019	1875	2015-12-16
UCOR	0.001	-0.020	1876	2015-12-23
UCOR	0.002	-0.020	1877	2015-12-30
UCOR	0.002	-0.020	1878	2016-01-06
UCOR	0.003	-0.020	1880	2016-01-20
UCOR	0.002	-0.021	1882	2016-02-03
UCOR	0.003	-0.019	1883	2016-02-10
UCOR	0.001	-0.019	1884	2016-02-17
UCOR	0.001	-0.019	1885	2016-02-24
UCOR	0.002	-0.020	1886	2016-03-02
UCOR	0.002	-0.019	1887	2016-03-09
UCOR	0.001	-0.021	1888	2016-03-16
UCOR	0.001	-0.020	1890	2016-03-30
UCOR	0.004	-0.019	1892	2016-04-13
UCOR	0.001	-0.019	1893	2016-04-20
UCOR	0.004	-0.020	1894	2016-04-27
UCOR	0.002	-0.019	1895	2016-05-04
UCOR	0.002	-0.021	1896	2016-05-11
UCOR	0.001	-0.021	1897	2016-05-18
UCOR	-0.001	-0.022	1898	2016-05-25
UCOR	0.002	-0.023	1899	2016-06-01
UCOR	0.001	-0.023	1900	2016-06-08
UCOR	-0.000	-0.024	1901	2016-06-15
UCOR	0.000	-0.024	1902	2016-06-22
UCOR	0.002	-0.024	1903	2016-06-29
UCOR	0.000	-0.022	1904	2016-07-06
UCOR	-0.000	-0.024	1905	2016-07-13
UCOR	0.000	-0.023	1906	2016-07-20
UCOR	-0.001	-0.024	1907	2016-07-27
UCOR	-0.001	-0.023	1908	2016-08-03
UCOR	-0.001	-0.023	1909	2016-08-10
