station	d_lat	d_lon	gpsweek	date
UYSO	0.002	0.002	1640	2011-06-15
UYSO	0.000	0.001	1641	2011-06-22
UYSO	0.002	0.002	1642	2011-06-29
UYSO	0.002	0.003	1643	2011-07-06
UYSO	0.000	0.003	1644	2011-07-13
UYSO	0.002	0.004	1645	2011-07-20
UYSO	0.001	0.004	1646	2011-07-27
UYSO	-0.000	0.006	1647	2011-08-03
UYSO	0.000	0.005	1648	2011-08-10
UYSO	-0.001	0.005	1649	2011-08-17
UYSO	0.000	0.005	1650	2011-08-24
UYSO	0.001	0.006	1651	2011-08-31
UYSO	-0.001	0.004	1652	2011-09-07
UYSO	-0.001	0.006	1653	2011-09-14
UYSO	-0.001	0.006	1654	2011-09-21
UYSO	-0.000	0.005	1655	2011-09-28
UYSO	0.001	0.004	1656	2011-10-05
UYSO	0.001	0.003	1657	2011-10-12
UYSO	-0.001	0.004	1658	2011-10-19
UYSO	-0.001	0.004	1659	2011-10-26
UYSO	0.001	0.002	1660	2011-11-02
UYSO	0.001	0.003	1661	2011-11-09
UYSO	-0.000	0.003	1662	2011-11-16
UYSO	0.001	0.003	1663	2011-11-23
UYSO	0.001	0.003	1664	2011-11-30
UYSO	0.003	0.002	1665	2011-12-07
UYSO	0.002	0.003	1666	2011-12-14
UYSO	0.002	0.002	1667	2011-12-21
UYSO	0.001	0.003	1668	2011-12-28
UYSO	0.003	0.001	1670	2012-01-11
UYSO	0.005	0.002	1671	2012-01-18
UYSO	0.003	0.001	1672	2012-01-25
UYSO	0.003	0.001	1673	2012-02-01
UYSO	0.003	0.003	1674	2012-02-08
UYSO	0.006	0.003	1675	2012-02-15
UYSO	0.003	0.003	1676	2012-02-22
UYSO	0.006	0.002	1677	2012-02-29
UYSO	0.004	0.002	1678	2012-03-07
UYSO	0.005	0.004	1679	2012-03-14
UYSO	0.002	0.004	1680	2012-03-21
UYSO	0.001	0.005	1681	2012-03-28
UYSO	0.002	0.003	1682	2012-04-04
UYSO	0.003	0.005	1683	2012-04-11
UYSO	0.001	0.003	1684	2012-04-18
UYSO	0.001	0.005	1685	2012-04-25
UYSO	0.002	0.004	1686	2012-05-02
UYSO	0.002	0.005	1687	2012-05-09
UYSO	0.001	0.003	1688	2012-05-16
UYSO	0.000	0.003	1689	2012-05-23
UYSO	-0.000	0.001	1690	2012-05-30
UYSO	-0.001	0.003	1691	2012-06-06
UYSO	-0.001	0.001	1692	2012-06-13
UYSO	0.000	0.003	1693	2012-06-20
UYSO	-0.001	0.004	1694	2012-06-27
UYSO	-0.003	0.004	1695	2012-07-04
UYSO	-0.001	0.005	1696	2012-07-11
UYSO	-0.000	0.005	1697	2012-07-18
UYSO	-0.003	0.006	1698	2012-07-25
UYSO	-0.002	0.006	1699	2012-08-01
UYSO	-0.001	0.008	1700	2012-08-08
UYSO	-0.001	0.006	1701	2012-08-15
UYSO	-0.001	0.004	1702	2012-08-22
UYSO	-0.002	0.005	1703	2012-08-29
UYSO	-0.004	0.006	1704	2012-09-05
UYSO	-0.002	0.006	1705	2012-09-12
UYSO	-0.003	0.005	1706	2012-09-19
UYSO	-0.002	0.004	1707	2012-09-26
UYSO	-0.002	0.004	1708	2012-10-03
UYSO	-0.003	0.003	1709	2012-10-10
UYSO	-0.002	0.004	1710	2012-10-17
UYSO	-0.001	0.002	1711	2012-10-24
UYSO	-0.000	0.001	1712	2012-10-31
UYSO	0.000	0.001	1713	2012-11-07
UYSO	0.002	0.001	1714	2012-11-14
UYSO	0.001	0.001	1715	2012-11-21
UYSO	0.002	0.003	1716	2012-11-28
UYSO	0.001	0.001	1717	2012-12-05
UYSO	0.002	0.002	1718	2012-12-12
UYSO	0.002	0.001	1719	2012-12-19
UYSO	0.003	0.001	1720	2012-12-26
UYSO	0.002	0.001	1721	2013-01-02
UYSO	0.003	0.002	1722	2013-01-09
