station	d_lat	d_lon	gpsweek	date
UYTA	0.001	-0.004	1640	2011-06-15
UYTA	-0.001	-0.004	1641	2011-06-22
UYTA	0.002	-0.004	1642	2011-06-29
UYTA	0.001	-0.003	1643	2011-07-06
UYTA	-0.000	-0.003	1644	2011-07-13
UYTA	-0.000	-0.003	1645	2011-07-20
UYTA	-0.000	-0.003	1646	2011-07-27
UYTA	-0.001	-0.001	1647	2011-08-03
UYTA	-0.001	-0.002	1648	2011-08-10
UYTA	-0.003	-0.001	1649	2011-08-17
UYTA	-0.002	-0.000	1650	2011-08-24
UYTA	-0.002	-0.001	1651	2011-08-31
UYTA	-0.002	-0.002	1652	2011-09-07
UYTA	-0.003	-0.000	1653	2011-09-14
UYTA	-0.002	-0.001	1654	2011-09-21
UYTA	-0.001	-0.001	1655	2011-09-28
UYTA	0.000	-0.003	1656	2011-10-05
UYTA	-0.002	-0.004	1657	2011-10-12
UYTA	-0.002	-0.004	1658	2011-10-19
UYTA	-0.002	-0.003	1659	2011-10-26
UYTA	-0.001	-0.004	1660	2011-11-02
UYTA	-0.002	-0.003	1661	2011-11-09
UYTA	-0.002	-0.005	1662	2011-11-16
UYTA	-0.001	-0.003	1663	2011-11-23
UYTA	-0.001	-0.004	1664	2011-11-30
UYTA	0.000	-0.003	1665	2011-12-07
UYTA	0.002	-0.003	1666	2011-12-14
UYTA	-0.001	-0.005	1667	2011-12-21
UYTA	-0.002	-0.005	1668	2011-12-28
UYTA	0.001	-0.006	1670	2012-01-11
UYTA	0.002	-0.004	1671	2012-01-18
UYTA	0.002	-0.006	1672	2012-01-25
UYTA	0.003	-0.005	1673	2012-02-01
UYTA	0.002	-0.005	1674	2012-02-08
UYTA	0.001	-0.004	1675	2012-02-15
UYTA	0.002	-0.004	1676	2012-02-22
UYTA	0.003	-0.005	1677	2012-02-29
UYTA	0.003	-0.002	1678	2012-03-07
UYTA	0.002	-0.004	1679	2012-03-14
UYTA	0.001	-0.002	1680	2012-03-21
UYTA	0.000	-0.002	1681	2012-03-28
UYTA	-0.000	-0.003	1682	2012-04-04
UYTA	-0.000	-0.003	1683	2012-04-11
UYTA	-0.001	-0.004	1684	2012-04-18
UYTA	-0.001	-0.002	1685	2012-04-25
UYTA	0.000	-0.002	1686	2012-05-02
UYTA	0.000	-0.003	1687	2012-05-09
UYTA	-0.000	-0.002	1688	2012-05-16
UYTA	-0.001	-0.004	1689	2012-05-23
UYTA	-0.001	-0.006	1690	2012-05-30
UYTA	-0.002	-0.004	1691	2012-06-06
UYTA	-0.002	-0.005	1692	2012-06-13
UYTA	-0.002	-0.003	1693	2012-06-20
UYTA	-0.002	-0.001	1694	2012-06-27
UYTA	-0.003	-0.002	1695	2012-07-04
UYTA	-0.003	-0.001	1696	2012-07-11
UYTA	-0.001	-0.000	1697	2012-07-18
UYTA	-0.004	-0.000	1698	2012-07-25
UYTA	-0.003	0.000	1699	2012-08-01
UYTA	-0.002	0.002	1700	2012-08-08
UYTA	-0.002	-0.001	1701	2012-08-15
UYTA	-0.003	-0.002	1702	2012-08-22
UYTA	-0.004	-0.001	1703	2012-08-29
UYTA	-0.003	0.000	1704	2012-09-05
UYTA	-0.003	-0.001	1705	2012-09-12
UYTA	-0.005	-0.001	1706	2012-09-19
UYTA	-0.002	-0.002	1707	2012-09-26
UYTA	-0.004	-0.001	1708	2012-10-03
UYTA	-0.004	-0.002	1709	2012-10-10
UYTA	-0.005	-0.001	1710	2012-10-17
UYTA	-0.004	-0.004	1711	2012-10-24
UYTA	-0.003	-0.004	1712	2012-10-31
UYTA	-0.002	-0.006	1713	2012-11-07
