station	d_lat	d_lon	gpsweek	date
UYTD	0.005	-0.010	1870	2015-11-11
UYTD	0.006	-0.010	1871	2015-11-18
UYTD	0.007	-0.011	1872	2015-11-25
UYTD	0.006	-0.011	1873	2015-12-02
UYTD	0.005	-0.012	1874	2015-12-09
UYTD	0.007	-0.010	1875	2015-12-16
UYTD	0.006	-0.012	1876	2015-12-23
UYTD	0.007	-0.013	1877	2015-12-30
UYTD	0.006	-0.013	1878	2016-01-06
UYTD	0.008	-0.011	1880	2016-01-20
UYTD	0.008	-0.011	1882	2016-02-03
UYTD	0.008	-0.009	1883	2016-02-10
UYTD	0.007	-0.009	1884	2016-02-17
UYTD	0.006	-0.010	1885	2016-02-24
UYTD	0.007	-0.010	1886	2016-03-02
UYTD	0.007	-0.010	1887	2016-03-09
UYTD	0.007	-0.012	1888	2016-03-16
UYTD	0.006	-0.010	1890	2016-03-30
UYTD	0.006	-0.012	1891	2016-04-06
UYTD	0.007	-0.010	1892	2016-04-13
UYTD	0.005	-0.010	1893	2016-04-20
UYTD	0.008	-0.010	1894	2016-04-27
UYTD	0.006	-0.009	1895	2016-05-04
UYTD	0.006	-0.010	1896	2016-05-11
UYTD	0.005	-0.009	1897	2016-05-18
UYTD	0.004	-0.011	1898	2016-05-25
UYTD	0.006	-0.011	1899	2016-06-01
UYTD	0.005	-0.011	1900	2016-06-08
UYTD	0.003	-0.012	1901	2016-06-15
UYTD	0.003	-0.011	1902	2016-06-22
UYTD	0.005	-0.011	1903	2016-06-29
UYTD	0.004	-0.010	1904	2016-07-06
UYTD	0.004	-0.012	1905	2016-07-13
UYTD	0.003	-0.011	1906	2016-07-20
UYTD	0.003	-0.012	1907	2016-07-27
UYTD	0.003	-0.011	1908	2016-08-03
UYTD	0.002	-0.011	1909	2016-08-10
UYTD	0.001	-0.010	1910	2016-08-17
UYTD	0.001	-0.009	1911	2016-08-24
UYTD	0.003	-0.010	1912	2016-08-31
UYTD	0.002	-0.010	1913	2016-09-07
UYTD	0.002	-0.012	1914	2016-09-14
UYTD	0.003	-0.012	1915	2016-09-21
UYTD	0.003	-0.012	1916	2016-09-28
UYTD	0.005	-0.011	1917	2016-10-05
UYTD	0.004	-0.010	1918	2016-10-12
UYTD	0.005	-0.009	1919	2016-10-19
UYTD	0.006	-0.008	1920	2016-10-26
UYTD	0.005	-0.010	1921	2016-11-02
UYTD	0.004	-0.010	1922	2016-11-09
UYTD	0.004	-0.010	1923	2016-11-16
UYTD	0.005	-0.011	1924	2016-11-23
UYTD	0.004	-0.010	1925	2016-11-30
UYTD	0.005	-0.010	1926	2016-12-07
UYTD	0.007	-0.010	1927	2016-12-14
UYTD	0.008	-0.009	1928	2016-12-21
UYTD	0.007	-0.009	1929	2016-12-28
UYTD	0.008	-0.008	1930	2017-01-04
UYTD	0.008	-0.009	1931	2017-01-11
UYTD	0.007	-0.007	1932	2017-01-18
UYTD	0.008	-0.008	1933	2017-01-25
UYTD	0.006	-0.011	1934	2017-02-01
UYTD	0.005	-0.011	1935	2017-02-08
UYTD	0.002	-0.011	1936	2017-02-15
UYTD	0.001	-0.013	1937	2017-02-22
